"","features","scores"
"1","Ruthenibacterium_lactatiformans",-3.68040906372888
"2","Prevotella_sp._CAG:5226",-3.53347257758415
"3","Flavonifractor_plautii",-3.42293043340208
"4","Prevotellamassilia_timonensis",-3.39277321264364
"5","uncultured_Flavonifractor_sp.",-3.23975933309292
"6","Klebsiella_quasipneumoniae",-3.23122251777328
"7","Bacteroides_sp._4_1_36",-3.21715461592991
"8","Hungatella_hathewayi",-3.20281224248579
"9","Blautia_wexlerae",-3.19859040055376
"10","Bacteroides_sp._D20",-3.19830655122271
"11","Bacteroides_sp._1_1_14",-3.15114617821082
"12","[Clostridium]_symbiosum",-3.10238154522909
"13","Parabacteroides_gordonii",-3.09139212690938
"14","Lachnospiraceae_bacterium_3_1_46FAA",-3.08212375354541
"15","uncultured_Oscillibacter_sp.",-3.0772830737945
"16","Bacteroides_salyersiae",-3.06978039514343
"17","Cloacibacillus_evryensis",-3.01812154384407
"18","Eisenbergiella_tayi",-2.98728216476796
"19","Anaerostipes_hadrus",-2.97331719121468
"20","Enterocloster_bolteae",-2.93706098357756
"21","Clostridium_sp._CAG:343",-2.87647752672071
"22","Cloacibacillus_porcorum",-2.87640495113773
"23","Synergistes_sp._3_1_syn1",-2.86158067086881
"24","Eubacterium_callanderi",-2.82462667808122
"25","Subdoligranulum_sp._OF01-18",-2.82043745882131
"26","Bacteroides_sp._2_2_4",-2.80945924261224
"27","Bacteroides_sp._L5",-2.77253716486699
"28","Bacteroides_sp._CACC_737",-2.76325823868319
"29","Serratia_liquefaciens",-2.75163796165929
"30","Enterocloster_clostridioformis",-2.73610409939923
"31","Bacteroides_sp._AR29",-2.72837465015238
"32","Bacteroides_sp._AF25-5LB",-2.71034742759949
"33","[Clostridium]_scindens",-2.6956768144606
"34","Parabacteroides_sp._BX2",-2.68414003952575
"35","Subdoligranulum_sp._TF05-17AC",-2.68195665985622
"36","Enterocloster_aldensis",-2.68079581314909
"37","Subdoligranulum_sp._4_3_54A2FAA",-2.66474178726126
"38","Dysosmobacter_welbionis",-2.66125791919986
"39","Eubacterium_sp._BL-380-WT-2B",-2.63174019487624
"40","Bacteroides_sp._D22",-2.6290699238657
"41","Erysipelatoclostridium_ramosum",-2.6246158634737
"42","Bacteroides_sp._AF25-17LB",-2.62021539678185
"43","Bacteroides_nordii",-2.61034597029209
"44","Eggerthella_lenta",-2.58841135645145
"45","Oscillibacter_sp._KLE_1745",-2.58538979703092
"46","Subdoligranulum_sp._AF14-43",-2.57945080316571
"47","Bacteroides_sp._AR20",-2.56818163748101
"48","Subdoligranulum_sp._AM16-9",-2.56785590187948
"49","Akkermansia_muciniphila_CAG:154",-2.56174616861211
"50","Enterocloster_asparagiformis",-2.55482455591865
"51","Emergencia_timonensis",-2.54862691753933
"52","Clostridium_sp._CAG:242",-2.52731291902881
"53","Bacteroides_sp._NSJ-21",-2.51136443736731
"54","Firmicutes_bacterium_CAG:145",-2.51040345342381
"55","Anaerotruncus_colihominis",-2.50274426837518
"56","uncultured_Blautia_sp.",-2.48781912368988
"57","Bacteroides_sp._AF25-38AC",-2.48704494801341
"58","Fusicatenibacter_sp._2789STDY5834925",-2.4852589535838
"59","Bacteroides_ovatus_CAG:22",-2.48373892922222
"60","Sellimonas_intestinalis",-2.48098733816241
"61","Holdemania_filiformis",-2.47461480237897
"62","Subdoligranulum_sp._AM23-21AC",-2.45558340962946
"63","Bacteroides_sp._3_1_13",-2.45455650373827
"64","Clostridium_sp._ATCC_BAA-442",-2.4447939160142
"65","Bacteroides_sp._AGMB03916",-2.44257195487743
"66","Bacteroides_sp._AF27-10BH",-2.40625891795907
"67","Bacteroides_sp._A1C1",-2.40201156937245
"68","Odoribacter_sp._CAG:788",-2.36206961408678
"69","Bacteroides_sp._HPS0048",-2.34589054308702
"70","Bacteroides_sp._AF04-22",-2.33990220506887
"71","Pseudoflavonifractor_sp._AF19-9AC",-2.33521615246872
"72","Bacteroides_sp._AF36-11BH",-2.33428006423977
"73","Pseudoflavonifractor_sp._An184",-2.30393534027913
"74","Bacteroides_fluxus",-2.29259327021826
"75","[Clostridium]_innocuum",-2.28920945870857
"76","Clostridiales_bacterium_CCNA10",-2.26702415349486
"77","Catabacter_hongkongensis",-2.24299351267569
"78","Bacteroides_sp._AF29-11",-2.23951048300476
"79","Lawsonibacter_asaccharolyticus",-2.23100213410725
"80","Anaerotignum_lactatifermentans",-2.20385616399995
"81","Bacteroides_uniformis_CAG:3",-2.19810186803689
"82","Ruminococcaceae_bacterium_cv2",-2.18903156226137
"83","Eubacterium_sp._CAG:146",-2.18687246947796
"84","Bacteroides_sp._3_2_5",-2.18559812356041
"85","Bacteroides_thetaiotaomicron_CAG:40",-2.17770154960583
"86","Bacteroides_sp._Marseille-P8574",-2.16785655297031
"87","Bacteroides_sp._AF26-10BH",-2.16183655112245
"88","Oscillibacter_sp._KLE_1728",-2.14741817151255
"89","Allobacillus_sp._SKP4-8",-2.14495005411974
"90","Oscillibacter_sp._PEA192",-2.13838551022075
"91","Caldilineae_bacterium",-2.13683561001433
