SampleID	Group	Cellular Processes	Environmental Information Processing	Genetic Information Processing	Human Diseases	Metabolism	Organismal Systems
ANX12	AN	6.1646466207498397E-3	1.9412563126351701E-2	2.8856641386903401E-2	1.6966448891417201E-3	5.2143267997366502E-2	9.8079331679071192E-4
ANX13	AN	7.0436549378083699E-3	2.7923336759751002E-2	3.42530315726646E-2	2.2186371922738699E-3	6.0956793464678499E-2	1.10555102792369E-3
ANX15	AN	5.9880562676533997E-3	2.8007836854264199E-2	3.81191711867504E-2	2.0809544492791298E-3	6.3671657081224395E-2	1.1967001603039201E-3
ANX16	AN	5.9818513510144899E-3	2.3371897108314801E-2	3.19038146154077E-2	2.1401238212885999E-3	7.0855217959675199E-2	1.5350217708615199E-3
ANX19	AN	5.4508327018983303E-3	2.0480515429643999E-2	3.9329883907742003E-2	2.4135540570583199E-3	6.0035507609803702E-2	1.4934845353887301E-3
ANX20	AN	6.6975281585783704E-3	2.5646755195240099E-2	3.0616750102715098E-2	2.5139673627205201E-3	7.1557888429057595E-2	1.33141994361538E-3
ANX21	AN	5.2099579767105001E-3	2.1994176475741201E-2	3.2779808296569603E-2	1.95525411257488E-3	6.5215384362522597E-2	1.3845846839562899E-3
ANX22	AN	2.1812408436936502E-3	9.2274063110949697E-3	1.2275640906489201E-2	8.9942790375770198E-4	2.6614341022777599E-2	3.9322136054916298E-4
ANX29	AN	9.9545293254645201E-3	3.2468745708407999E-2	2.9742918247848499E-2	2.8331315189276301E-3	7.8653162143487707E-2	1.1759173247208501E-3
ANX32	AN	5.0278565830839898E-3	1.73887023960245E-2	3.3004968875378897E-2	1.95937268947368E-3	7.0847155807538295E-2	1.57889680541128E-3
ANX34	AN	6.8663676397178498E-3	2.5796503184964601E-2	2.8277114753904799E-2	2.4912635975052298E-3	7.1494131389135698E-2	1.3602118700067299E-3
ANX37	AN	5.1937700777727599E-3	2.0382322670318601E-2	3.4651049082584699E-2	2.2237083822342E-3	6.4733378524989907E-2	1.2832209916391699E-3
ANX41	AN	4.9672857199120103E-3	2.2145805382845399E-2	3.2549335973475001E-2	1.89100447738021E-3	7.2885850319138801E-2	1.53822137379961E-3
ANX42	AN	6.0072239043978204E-3	2.7422217134522399E-2	3.5526817606735601E-2	2.3340089200637E-3	6.5563549038715002E-2	1.3524070614934101E-3
ANX43	AN	7.68347139177238E-3	2.6510447080682099E-2	2.73275946999368E-2	3.37249779431994E-3	7.4044980442951297E-2	1.1048580926266E-3
ANX47	AN	7.2461119976288003E-3	3.1847588310049302E-2	3.3885760833942603E-2	2.3422290246143001E-3	6.6312858193692606E-2	1.0763226415316E-3
ANX48	AN	4.7208099442960496E-3	1.8693620464867201E-2	3.2197654708791698E-2	2.1717542531619798E-3	6.8405072257460897E-2	1.2918517283728201E-3
ANX54	AN	5.7760737569480299E-3	2.3503686976776399E-2	3.6985963144898902E-2	2.1960620724023102E-3	6.9048574296673895E-2	1.35024527646437E-3
ANX57	AN	5.9650160051859698E-3	1.80805709568354E-2	3.4135357442645502E-2	2.3623821930678201E-3	6.6964121137153595E-2	1.36435206740265E-3
ANX63	AN	6.0386982777594998E-3	2.29945441029893E-2	3.2664596487738999E-2	2.2250686104489099E-3	6.8608520093325201E-2	1.26310994375535E-3
ANX01	AN	7.0613506881611497E-3	3.6496903090855397E-2	3.7134652456607603E-2	2.5568838276548399E-3	7.4965596345938607E-2	1.1061546522088601E-3
ANX04	AN	6.1413993938548902E-3	2.3046329916228198E-2	3.0288018613026602E-2	2.4949699451229899E-3	6.4990593476275102E-2	1.05487715512627E-3
ANX06	AN	5.5271054406881596E-3	2.16073154824327E-2	3.2317541174921097E-2	1.93523848672768E-3	7.0105231449483094E-2	1.63985868248168E-3
